시간	무게	무게 변화	포트	로그	상태
15_18_26_599	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_603	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_624	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_701	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_708	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_716	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_744	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_811	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_818	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_825	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_851	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_26_923	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_26_929	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_26_935	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_26_956	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_034	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_039	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_043	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_063	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_146	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_153	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_160	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_193	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_253	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_263	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_270	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_302	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_362	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_398	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_407	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_413	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_27_472	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_27_479	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_27_487	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_27_520	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
